date,type,category,keyword,value
2021-01-09,daily,Sports,Vijay Hazare Trophy,0.1
2021-01-09,daily,Sports,Novak Djokovic,0.1
2021-01-09,daily,World,Suez Canal Crisis,0.1
2021-01-09,daily,Business,cryptocurrency,0.4928276003276
2021-01-09,daily,"Festival, Days",Kumbh Mela,0.206093366093366
2021-01-09,daily,Sports,Tokyo Olympics,0.1
2021-01-09,daily,health,Delta variant,0.1
2021-01-09,daily,Business,Jack Dorsey quits,0.1
2021-01-09,daily,"Violence, war",Nagaland Killings,0.1
2021-01-09,daily,Sports,IPL Auction,0.313606902356902
2021-01-09,daily,Business,Pandora Papers,0.1
2021-01-09,daily,Sports,India vs South Africa,0.385833333333333
2021-01-09,daily,Sports,Eurocup,0.1
2021-01-09,daily,Health,COVID Vaccine,1.48453463203463
2021-01-09,daily,Business,Elon Musk,3.86235930735931
2021-01-09,daily,Entertainment,Vicky Kaushal,0.146071428571429
2021-01-09,daily,Sports,bajrang Punia,0.1
2021-01-09,daily,Sports,P V Sindhu,0.1
2021-01-09,daily,Sports,Sushil Kumar,0.1
2021-01-09,daily,Sports,Paralympics,0.1
2021-01-09,daily,Sports,IPL,2.81523809523809
2021-01-09,daily,Entertainment,Shershaah,0.1
2021-01-09,daily,Entertainment,Sooryavanshi,0.141904761904762
2021-01-09,daily,Entertainment,Drishyam 2,0.12
2021-01-09,daily,health,Bird Flu,4.49725490196079
2021-01-09,daily,Sports,Copa America,0.1
2021-01-09,daily,Sports,Wimbledon,0.1
2021-01-09,daily,Sports,English Premier League,0.13
2021-01-10,daily,Sports,T20 World Cup,0.211616161616162
2021-01-10,daily,Health,Omicron,0.1
2021-01-10,daily,Tragedy,Bipin Rawat Death,0.1
2021-01-10,daily,"Festival, Days",Independence Day,0.299242424242424
2021-01-10,daily,Business,Zomato IPO,0.1
2021-01-10,daily,Business,PayTM IPO,0.1
2021-01-10,daily,Business,nykaa IPO,0.1
2021-01-10,daily,Elections,West Bengal Election,0.137090909090909
2021-01-10,daily,Health,coronavirus,9.89523809523809
2021-01-10,daily,World,Taliban,0.102222222222222
2021-01-10,daily,Governance,Air India Divestment,0.1
2021-01-10,daily,Sports,Neeraj Chopra,0.1
2021-01-10,daily,Entertainment,Raj Kundra,0.1
2021-01-10,daily,"Violence, war",Myanmar coup,0.1
2021-01-10,daily,Business,NFT,0.1
2021-01-10,daily,Politics,Farmers Protest,0.529292929292929
2021-01-10,daily,Entertainment,Miss Universe,0.114627354627355
2021-01-10,daily,Tragedy,Lakhimpur Kheri,0.1
2021-01-10,daily,Tragedy,Cyclone Tauktae,0.1
2021-01-10,daily,Tragedy,Cyclone Yaas,0.1
2021-01-10,daily,Tragedy,Cyclone Gulab,0.1
2021-01-10,daily,Tragedy,Cyclone Jawad,0.1
2021-01-10,daily,Politics,Pegasus,0.110424242424242
2021-01-10,daily,Entertainment,Aryan Khan,0.1
2021-01-10,daily,Elections,UP Election,0.3678361998362
2021-01-10,daily,Politics,Bulli Bai app,0.1
2021-01-10,daily,Tragedy,Vaishno Devi stampede,0.1
2021-01-10,daily,"Festival, Days",Ayodhya Deepotsav,0.1
2021-01-10,daily,"Violence, war",Assam Mizoram Border Dispute,0.1
2021-01-10,daily,Tragedy,Uttarakhand flood,0.1
2021-01-10,daily,Elections,KMC Election 2021 Results,0.1
2021-01-10,daily,Politics,Panama Papers,0.1
2021-01-10,daily,Sports,Vijay Hazare Trophy,0.1
2021-01-10,daily,Sports,Novak Djokovic,0.1
2021-01-10,daily,World,Suez Canal Crisis,0.1
2021-01-10,daily,Business,cryptocurrency,0.493054873054873
2021-01-10,daily,"Festival, Days",Kumbh Mela,0.240638820638821
2021-01-10,daily,Sports,Tokyo Olympics,0.1
2021-01-10,daily,health,Delta variant,0.1
2021-01-10,daily,Business,Jack Dorsey quits,0.1
2021-01-10,daily,"Violence, war",Nagaland Killings,0.1
2021-01-10,daily,Sports,IPL Auction,0.336203056203056
2021-01-10,daily,Business,Pandora Papers,0.1
2021-01-10,daily,Sports,India vs South Africa,0.304102564102564
2021-01-10,daily,Sports,Eurocup,0.1
2021-01-10,daily,Health,COVID Vaccine,1.47972693972694
2021-01-10,daily,Business,Elon Musk,4.51043623043623
2021-01-10,daily,Entertainment,Vicky Kaushal,0.139340659340659
2021-01-10,daily,Sports,bajrang Punia,0.1
2021-01-10,daily,Sports,P V Sindhu,0.1
2021-01-10,daily,Sports,Sushil Kumar,0.1
2021-01-10,daily,Sports,Paralympics,0.1
2021-01-10,daily,Sports,IPL,2.98666666666667
2021-01-10,daily,Entertainment,Shershaah,0.1
2021-01-10,daily,Entertainment,Sooryavanshi,0.146666666666667
2021-01-10,daily,Entertainment,Drishyam 2,0.12
2021-01-10,daily,health,Bird Flu,4.65058823529412
2021-01-10,daily,Sports,Copa America,0.1
2021-01-10,daily,Sports,Wimbledon,0.1
2021-01-10,daily,Sports,English Premier League,0.139393939393939
2021-01-11,daily,Sports,T20 World Cup,0.211616161616162
2021-01-11,daily,Health,Omicron,0.1
2021-01-11,daily,Tragedy,Bipin Rawat Death,0.1
2021-01-11,daily,"Festival, Days",Independence Day,0.317424242424242
2021-01-11,daily,Business,Zomato IPO,0.1
2021-01-11,daily,Business,PayTM IPO,0.1
2021-01-11,daily,Business,nykaa IPO,0.1
2021-01-11,daily,Elections,West Bengal Election,0.137090909090909
2021-01-11,daily,Health,coronavirus,9.71746031746031
2021-01-11,daily,World,Taliban,0.104444444444444
2021-01-11,daily,Governance,Air India Divestment,0.1
2021-01-11,daily,Sports,Neeraj Chopra,0.1
2021-01-11,daily,Entertainment,Raj Kundra,0.1
2021-01-11,daily,"Violence, war",Myanmar coup,0.1
2021-01-11,daily,Business,NFT,0.1
2021-01-11,daily,Politics,Farmers Protest,0.612626262626263
2021-01-11,daily,Entertainment,Miss Universe,0.111636363636364
2021-01-11,daily,Tragedy,Lakhimpur Kheri,0.1
2021-01-11,daily,Tragedy,Cyclone Tauktae,0.1
2021-01-11,daily,Tragedy,Cyclone Yaas,0.1
2021-01-11,daily,Tragedy,Cyclone Gulab,0.1
2021-01-11,daily,Tragedy,Cyclone Jawad,0.1
2021-01-11,daily,Politics,Pegasus,0.110424242424242
2021-01-11,daily,Entertainment,Aryan Khan,0.1
2021-01-11,daily,Elections,UP Election,0.367151515151515
2021-01-11,daily,Politics,Bulli Bai app,0.1
2021-01-11,daily,Tragedy,Vaishno Devi stampede,0.1
2021-01-11,daily,"Festival, Days",Ayodhya Deepotsav,0.1
2021-01-11,daily,"Violence, war",Assam Mizoram Border Dispute,0.1
2021-01-11,daily,Tragedy,Uttarakhand flood,0.1
2021-01-11,daily,Elections,KMC Election 2021 Results,0.1
2021-01-11,daily,Politics,Panama Papers,0.1
2021-01-11,daily,Sports,Vijay Hazare Trophy,0.1
2021-01-11,daily,Sports,Novak Djokovic,0.1
2021-01-11,daily,World,Suez Canal Crisis,0.1
2021-01-11,daily,Business,cryptocurrency,0.497090909090909
2021-01-11,daily,"Festival, Days",Kumbh Mela,0.256242424242424
