date,T20 World Cup,Omicron,Bipin Rawat Death,Independence Day,Zomato IPO,PayTM IPO,nykaa IPO,West Bengal Election,coronavirus,Taliban,Air India Divestment,Neeraj Chopra,Raj Kundra,Myanmar coup,NFT,Farmers Protest,Miss Universe,Lakhimpur Kheri,Cyclone Tauktae,Cyclone Yaas,Cyclone Gulab,Cyclone Jawad,Pegasus,Aryan Khan,UP Election,Bulli Bai app,Vaishno Devi stampede,Ayodhya Deepotsav,Assam Mizoram Border Dispute,Uttarakhand flood,KMC Election 2021 Results,Panama Papers,Vijay Hazare Trophy,Novak Djokovic,cryptocurrency,Kumbh Mela,Tokyo Olympics,Delta variant,Jack Dorsey quits,Nagaland Killings,IPL Auction,Pandora Papers,India vs South Africa,Eurocup,COVID Vaccine,Elon Musk,Vicky Kaushal,bajrang Punia,P V Sindhu,Sushil Kumar,Paralympics,IPL,Shershaah,Sooryavanshi,Drishyam 2,Bird Flu,Copa America,Wimbledon,English Premier League
2021-01-21,0.149355089355089,0.1,0.1,0.381507381507382,0.1,0.1,0.1,0.13497311827957,7.39873737373737,0.1,0.1,0.1,0.1,0.1,0.1,0.472167832167832,0.107777777777778,0.111889400921659,0.1,0.1,0.1,0.1,0.1,0.1,0.66989247311828,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.425567076292883,0.265089605734767,0.1,0.1,0.1,0.1,1.4046245210728,0.1,0.100689655172414,0.1,2.54660866910867,1.23483821733822,0.110769230769231,0.1,0.1,0.1,0.1,6.90880952380954,0.1,0.1,0.1,1.37742063492064,0.1,0.1,0.30412826420891
2021-01-22,0.1604662004662,0.1,0.1,0.470396270396271,0.1,0.1,0.1,0.142107843137255,6.87373737373737,0.1,0.1,0.1,0.1,0.1,0.1,0.466453546453546,0.116013071895425,0.102857142857143,0.1,0.1,0.1,0.1,0.1,0.1,0.757254901960784,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.407047152194211,0.240915032679739,0.1,0.1,0.1,0.1,1.65733040342574,0.1,0.100689655172414,0.1,1.97647292250234,1.06922735760971,0.1,0.1,0.1,0.1,0.1,7.46309523809525,0.1,0.108571428571429,0.1,1.14133040935673,0.1,0.1,0.209782913165266
2021-01-23,0.14969696969697,0.1,0.1,0.604242424242424,0.1,0.1,0.1,0.168370469399881,7.20555555555556,0.105,0.1,0.1,0.1,0.1,0.1,0.558574758574758,0.116013071895425,0.102857142857143,0.1,0.1,0.1,0.1,0.101212121212121,0.1,0.923921568627451,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.436744121891181,0.218692810457516,0.1,0.1,0.1,0.1,1.92770077379611,0.1,0.100689655172414,0.1,1.80663165266107,1.13906862745098,0.1,0.1,0.1,0.125454545454545,0.1,8.37142857142858,0.1,0.121904761904762,0.1,1.21466374269006,0.1,0.1,0.211399074781428
2021-01-24,0.13469696969697,0.1,0.1,0.794242424242424,0.1,0.1,0.1,0.164603991057131,8.17063492063492,0.113571428571429,0.1,0.1,0.1,0.1,0.1,0.671908091908092,0.115353938185444,0.10319612590799,0.1,0.1,0.1,0.1,0.101212121212121,0.1,1.0035825855766,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.385425854471218,0.287007311399136,0.1,0.1,0.1,0.1,2.1489651416122,0.1,0.1,0.1,1.8499649859944,1.27573529411765,0.1,0.1,0.1,0.129183359013867,0.1,9.03809523809525,0.1,0.141904761904762,0.1,1.39254835807468,0.1,0.1,0.175843519225872
2021-01-25,0.152878787878788,0.1,0.1,1.77606060606061,0.1,0.1,0.1,0.175870224823365,8.21507936507936,0.113571428571429,0.1,0.1,0.1,0.1,0.1,0.698831168831169,0.123925366756872,0.10319612590799,0.1,0.1,0.1,0.1,0.101212121212121,0.1,0.968257910251929,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.373055724601088,0.329539778931604,0.1,0.1,0.1,0.1,1.64654578677349,0.1,0.1,0.1,1.8249649859944,1.22573529411765,0.1,0.1,0.1,0.129183359013867,0.1,7.01428571428572,0.1,0.141904761904762,0.113333333333333,1.27947646264984,0.1,0.1,0.154122740005093
2021-01-26,0.166212121212121,0.1,0.1,3.30272727272727,0.1,0.1,0.1,0.177046695411601,7.91730158730158,0.113571428571429,0.1,0.1,0.1,0.1,0.1,2.01831168831169,0.125101837345107,0.100338983050847,0.1,0.1,0.1,0.1,0.102388591800356,0.1,0.810610851428399,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.351711186785962,0.329539778931604,0.1,0.1,0.1,0.1,1.21419284559702,0.1,0.268235294117647,0.1,1.56782212885154,1.19296218487395,0.1,0.1,0.1,0.129183359013867,0.1,5.5952380952381,0.1,0.150476190476191,0.113333333333333,1.17026593633405,0.1,0.1,0.150761395467278
2021-01-27,0.152878787878788,0.1,0.1,3.3360606060606,0.1,0.1,0.1,0.167094024688139,7.85366522366522,0.113571428571429,0.1,0.1,0.1,0.1,0.1,2.56116883116883,0.11686654322746,0.100338983050847,0.1,0.1,0.1,0.1,0.102388591800356,0.1,0.721172041421638,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.322177718226125,0.328241604489413,0.1,0.1,0.1,0.1,1.00948696324408,0.1,0.305378151260504,0.1,1.4593253968254,1.17139355742297,0.1,0.1,0.1,0.129183359013867,0.1,4.93809523809524,0.1,0.141904761904762,0.113333333333333,1.08605541001826,0.1,0.1,0.175399664568022
2021-01-28,0.166212121212121,0.1,0.1,3.22272727272727,0.1,0.1,0.1,0.152755517666705,7.64366522366522,0.108571428571429,0.1,0.1,0.1,0.1,0.1,2.87725274725275,0.123695811520143,0.100338983050847,0.1,0.1,0.1,0.1,0.101176470588235,0.1,0.563448464185865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.335407577797448,0.33881071018047,0.1,0.1,0.1,0.1,0.774470128227245,0.1,0.333862999745353,0.1,1.43243464052287,1.0453431372549,0.115294117647059,0.1,0.1,0.103728813559322,0.1,4.14761904761905,0.1,0.128571428571429,0.113333333333333,0.988277632240481,0.1,0.1,0.165274017857009
2021-01-29,0.16978354978355,0.1,0.1,3.02987012987013,0.1,0.1,0.1,0.15207755156501,6.41747474747475,0.1,0.1,0.1,0.1,0.1,0.1,3.08475274725275,0.116577167452347,0.1,0.1,0.1,0.1,0.1,0.101176470588235,0.1,0.433787447236713,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.399170289661854,0.252607320349961,0.1,0.1,0.1,0.1,0.551136794893911,0.1,0.343862999745352,0.1,1.26576797385621,0.895343137254902,0.135294117647059,0.1,0.1,0.104,0.1,3.22261904761905,0.1,0.108571428571429,0.113333333333333,0.672893016855865,0.1,0.1,0.165274017857009
2021-01-30,0.135238095238095,0.1,0.1,2.02380952380952,0.1,0.1,0.1,0.15086945733366,6.3330303030303,0.1,0.1,0.1,0.1,0.1,0.1,3.27760989010989,0.108005738880918,0.110232558139535,0.1,0.1,0.1,0.1,0.104432284541724,0.1,0.367251657445109,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.503459024183147,0.247865550491912,0.1,0.1,0.1,0.1,0.502841864018335,0.1,0.343862999745352,0.1,1.23104575163399,0.874509803921568,0.135294117647059,0.1,0.1,0.104,0.1,2.90357142857143,0.1,0.117142857142857,0.1,0.676608187134503,0.1,0.1,0.207285494752207
